state	speed_discomfort	minimize_discomfort
exposed-1	0.8333333332523246	0.7499999999118613
exposed-2	1.6666666665505863	1.4999999998652738
exposed-3	3.333333333167042	2.9999999997940976
symptoms-1	6.666666666428507	5.9999999996853735
symptoms-2	4.999999999987372	4.499999999982521
symptoms-3	1.6666666666663355	1.4999999999995188
recovered	-0.0	-0.0
